reason,decisions,hits,misses,hit_rate
Precipitation probability over 40%,8,4,4,0.5
Hitter is not at least .265 against both pitcher hands in season/500/1500 windows,54,30,24,0.5555555555555556
Hitter is below .270 over both long and last-500 AB windows,71,40,31,0.5633802816901409
Starter H/IP under .875 over last 200 innings,25,15,10,0.6
H2H whiff rate over 25%,56,35,21,0.625
Hitter is not at least .270 against today's pitcher hand,80,51,29,0.6375
H2H K rate over 20%,75,50,25,0.6666666666666666
Opposing team may be using an opener,12,8,4,0.6666666666666666
Starter Stuff+ over 95,76,51,25,0.6710526315789473
Hitter season K rate over 22%,68,47,21,0.6911764705882353
Hitter season PA/G under 4.2,41,29,12,0.7073170731707317
H2H PA below 2,48,34,14,0.7083333333333334
Hitter is not at least .265 against both pitcher hands in 500/1500 AB windows,69,49,20,0.7101449275362319
Hitter last-500 PA whiff rate over 25%,74,53,21,0.7162162162162162
Hitter season whiff rate over 25%,74,54,20,0.7297297297297297
Hitter last-500 PA K rate over 22%,64,47,17,0.734375
Pitcher is not allowing over .245 BA to hitter hand in both 50/200 IP windows,84,64,20,0.7619047619047619
Hitter last-500 PA BB rate over 12%,51,40,11,0.7843137254901961
Hitter season BB rate over 12%,60,48,12,0.8
Starter season H/IP under .875,10,8,2,0.8
