factor,yes_decisions,yes_hits,yes_hit_rate,no_decisions,no_hits,no_hit_rate,edge_vs_no
Pickable,99,72,0.7272727272727273,64383,36399,0.5653511019989749,0.16192162527375242
No stop valves,99,72,0.7272727272727273,64383,36399,0.5653511019989749,0.16192162527375242
Publisher / congregation,4245,2977,0.7012956419316844,60237,33494,0.5560369872337599,0.14525865469792443
Volume floor (PA/G and expected PA),13778,9077,0.6588038902598345,50704,27394,0.5402729567686968,0.11853093349113775
K rate <= 20%,23035,13970,0.6064684176253528,41447,22501,0.542886095495452,0.06358232212990078
Season BA >= .275,16338,9956,0.609376912718815,48144,26515,0.550743602525756,0.05863331019305895
H2H 3+ PA,27765,16587,0.5974068071312804,36717,19884,0.5415475120516382,0.05585929507964216
H2H seen starter,37680,22105,0.5866507430997877,26802,14366,0.5360047757630028,0.05064596733678495
Hot .400+ last 5,5888,3534,0.600203804347826,58594,32937,0.5621224016110865,0.038081402736739545
Season BA >= .300,7340,4332,0.5901907356948229,57142,32139,0.5624409366140493,0.027749799080773685
Confirmed lineup,52636,29935,0.5687172277528687,11846,6536,0.5517474252912375,0.016969802461631156
Road game,32241,18307,0.5678173753915822,32241,18164,0.5633820290933904,0.004435346298191756
Division matchup,20037,11284,0.5631581574087937,44445,25187,0.566700416244797,-0.0035422588360032314
Doubleheader,1316,744,0.5653495440729484,63166,35727,0.5656049140360321,-0.00025536996308372917
