feature,decisions,correlation,bottom_quintile_decisions,bottom_quintile_hit_rate,top_quintile_decisions,top_quintile_hit_rate,top_minus_bottom
hitter_split_pa_season_vs_lhp,702,0.13280388930552395,142,0.4507042253521127,140,0.6857142857142857,0.23501006036217303
hitter_pa_per_game_season,63891,0.16937618726014878,12957,0.42756810990198346,12521,0.6543407076112132,0.22677259770922975
hitter_last_5_games_ab,63891,0.13842709633686184,16543,0.4609200265973524,7434,0.6462200699488835,0.1853000433515311
score,64482,0.13043900903608405,12915,0.47286101432442895,12894,0.655110904296572,0.1822498899721431
hitter_ba_500_ab,64317,0.10921126741526639,13195,0.4732853353543009,12741,0.6417078722235303,0.16842253686922942
hitter_ba_2500_ab,64317,0.10431020905006624,13259,0.4795987631043065,12405,0.6401451027811367,0.16054633967683019
hitter_hipa_500_pa,64317,0.10373328277949517,12906,0.4779172477917248,12342,0.6350672500405121,0.15715000224878733
hitter_hipa_2500_pa,64317,0.09992624879466354,12925,0.48,12415,0.6367297623842126,0.15672976238421266
hitter_split_ba_500_vs_rhp,64361,0.09443907311198313,12947,0.473623233181432,12117,0.6288685318148056,0.1552452986333736
hitter_split_ba_1500_vs_rhp,64361,0.09462498161743829,12912,0.4714993804213135,12596,0.626468720228644,0.15496933980733046
lineup_slot,64482,-0.10300379003651676,13362,0.6281245322556503,7050,0.47319148936170213,-0.15493304289394821
hitter_last_5_games_hits,63891,0.10360137985682251,16157,0.4941511419199109,8456,0.6377719962157048,0.1436208542957939
hitter_split_pa_season_vs_rhp,706,0.13190377535542352,145,0.503448275862069,138,0.644927536231884,0.14147926036981506
expected_pa,64482,0.10239535436540127,13753,0.49058387260961245,6631,0.6306741064696124,0.14009023385999997
hitter_hipa_75_ab,64317,0.08785737606567269,12923,0.4977946297299389,12399,0.6245664972981692,0.12677186756823028
inferred_pitch_type_ba,63475,0.07417482531608445,12875,0.4855922330097087,12523,0.6084005430008784,0.1228083099911697
hitter_ba_75_ab,64317,0.09095760870594051,17065,0.5067096396132434,9644,0.6291995022812111,0.12248986266796769
hitter_k_rate_500_pa,64376,-0.0810679237538245,13416,0.6207513416815742,12795,0.5044939429464634,-0.11625739873511076
