stop_reason,decisions,hits,hit_rate,edge_vs_overall
No stop valve,99,72,0.7272727272727273,0.16167302503024106
Hitter last-500 PA BB rate over 12%,7747,4540,0.5860333032141474,0.020433600971661137
Hitter is not at least .265 against both pitcher hands in season/500/1500 windows,562,323,0.5747330960854092,0.009133393842922999
H2H K rate over 20%,17096,9825,0.5746958352831072,0.009096133040620957
Opposing team may be using an opener,2034,1162,0.5712881022615536,0.005688400019067341
H2H whiff rate over 25%,15260,8712,0.5709043250327654,0.005304622790279212
Hitter season BB rate over 12%,13022,7401,0.5683458762094916,0.002746173967005383
Hitter is playing in a doubleheader,1316,744,0.5653495440729484,-0.00025015816953788406
Starter allowed fewer than 10 hits over last 18 IP,3446,1945,0.5644225188624492,-0.001177183380037028
Precipitation probability over 40%,1088,610,0.5606617647058824,-0.004937937536603876
Starter Stuff+ over 95,34663,19287,0.5564146207771976,-0.009185081465288625
Pitcher is not allowing over .245 BA to hitter hand in both 50/200 IP windows,42233,23402,0.5541164492221722,-0.011483253020314055
Hitter season whiff rate over 25%,30965,17100,0.5522363959308897,-0.013363306311596546
Hitter is not at least .265 against both pitcher hands in 500/1500 AB windows,54620,30160,0.5521786891248627,-0.01342101311762356
Hitter last-500 PA whiff rate over 25%,33029,18200,0.5510309122286475,-0.014568790013838706
Starter H/IP under .875 over last 200 innings,23233,12669,0.5453019412043214,-0.02029776103816483
Hitter is not at least .270 against today's pitcher hand,46864,25434,0.5427193581427108,-0.022880344099775463
Hitter season PA/G under 4.2,49740,26961,0.5420386007237635,-0.023561101518722705
Hitter season K rate over 22%,31497,17056,0.5415118900212719,-0.024087812221214366
Hitter is below .270 over both long and last-500 AB windows,47593,25737,0.5407728027230896,-0.02482689951939665
Hitter last-500 PA K rate over 22%,34285,18481,0.5390403966749308,-0.02655930556755548
H2H PA below 2,29943,16114,0.5381558294092108,-0.02744387283327543
Starter season H/IP under .875,24132,12799,0.5303746063318415,-0.03522509591064471
Hitter BA under .150 over last 25 AB,8260,4252,0.514769975786925,-0.050829726455561275
"Starter's most recent start was dominant (6+ IP, 8+ K, <=3 H, <=2 BB)",36,17,0.4722222222222222,-0.09337748002026403
