date,strategy,strategy_label,strategy_description,top1_player,top1_team,top1_opponent,top1_probability,top1_bob_score,top1_expected_pa,top1_lineup_slot,top1_stop_count,top1_pickable,top1_publisher,top1_result_hit,top1_decision,top1_hit,top2_pair,top2_publisher_count,top2_pick1_player,top2_pick1_publisher,top2_pick1_hit,top2_pick2_player,top2_pick2_publisher,top2_pick2_hit,top2_decision,top2_any_hit,top2_both_hit
2025-04-24,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Jung Hoo Lee,SFG,MIL,0.7309681055302213,53.48,4.6,3.0,4,N,True,1,True,True,Jung Hoo Lee + Bobby Witt Jr.,2,Jung Hoo Lee,True,1,Bobby Witt Jr.,True,1,True,True,True
2025-04-24,wf_volume_floor,Probability with volume floor,"Prefer hitters with PA/G >= 4.2 and expected PA >= 4.1, then sort by walk-forward probability.",Bryan Reynolds,PIT,LAA,0.7179550255938513,60.2,4.7,2.0,8,N,False,1,True,True,Bryan Reynolds + Brice Turang,0,Bryan Reynolds,False,1,Brice Turang,False,1,True,True,True
2025-04-24,wf_low_stop_floor,Probability with volume + stop floor,Apply the volume floor and require six or fewer stop valves when possible.,Brice Turang,MIL,SFG,0.7148560920076377,41.28,4.8,1.0,6,N,False,1,True,True,Brice Turang + Yandy Díaz,1,Brice Turang,False,1,Yandy Díaz,True,1,True,True,True
2025-04-24,wf_top5_safety_blend,Top-5 safety blend,"Take the model top 5, then rerank by opportunity/contact safety factors.",Bobby Witt Jr.,KCR,COL,0.7274099605509708,58.87,4.7,2.0,4,N,True,1,True,True,Bobby Witt Jr. + Jarren Duran,1,Bobby Witt Jr.,True,1,Jarren Duran,False,1,True,True,True
2025-04-24,wf_top8_safety_floor,Top-8 safety blend with floor,"Take the model top 8, apply PA and stop-count floors when possible, then rerank by safety.",Yandy Díaz,TBR,ARI,0.6845868000673663,47.65,4.8,1.0,3,N,True,1,True,True,Yandy Díaz + Jarren Duran,1,Yandy Díaz,True,1,Jarren Duran,False,1,True,True,True
2025-04-24,bob_score_volume_floor,Bob score with volume floor,Primary Bob score baseline after a PA volume floor.,Bryan Reynolds,PIT,LAA,0.7179550255938513,60.2,4.7,2.0,8,N,False,1,True,True,Bryan Reynolds + Gunnar Henderson,0,Bryan Reynolds,False,1,Gunnar Henderson,False,0,True,True,False
2025-04-25,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Agustín Ramírez,MIA,SEA,0.8201721739358068,42.13,4.5,4.0,8,N,False,1,True,True,Agustín Ramírez + TJ Friedl,0,Agustín Ramírez,False,1,TJ Friedl,False,0,True,True,False
2025-04-25,wf_volume_floor,Probability with volume floor,"Prefer hitters with PA/G >= 4.2 and expected PA >= 4.1, then sort by walk-forward probability.",TJ Friedl,CIN,COL,0.788811380252056,62.83,4.8,1.0,2,N,False,0,True,False,TJ Friedl + Francisco Lindor,0,TJ Friedl,False,0,Francisco Lindor,False,0,True,False,False
2025-04-25,wf_low_stop_floor,Probability with volume + stop floor,Apply the volume floor and require six or fewer stop valves when possible.,TJ Friedl,CIN,COL,0.788811380252056,62.83,4.8,1.0,2,N,False,0,True,False,TJ Friedl + Francisco Lindor,0,TJ Friedl,False,0,Francisco Lindor,False,0,True,False,False
2025-04-25,wf_top5_safety_blend,Top-5 safety blend,"Take the model top 5, then rerank by opportunity/contact safety factors.",TJ Friedl,CIN,COL,0.788811380252056,62.83,4.8,1.0,2,N,False,0,True,False,TJ Friedl + Francisco Lindor,0,TJ Friedl,False,0,Francisco Lindor,False,0,True,False,False
2025-04-25,wf_top8_safety_floor,Top-8 safety blend with floor,"Take the model top 8, apply PA and stop-count floors when possible, then rerank by safety.",Francisco Lindor,NYM,WSN,0.7782447189456481,65.69,4.8,1.0,2,N,False,0,True,False,Francisco Lindor + Steven Kwan,1,Francisco Lindor,False,0,Steven Kwan,True,,False,False,False
